2014/07/28 12:22 "Medley Capital Co","MCC",13.07,"+0.31%"
2014/07/28 12:22 "Prospect Capital ","PSEC",11.0075,"+0.07%"
2014/07/28 12:22 "TravelCenters of ","TA",8.88,"-2.42%"
2014/07/28 12:22 "Alaska Communicat","ALSK",1.70,"0.00%"
2014/07/28 12:22 "NetSol Technologi","NTWK",3.83,"-1.29%"
2014/07/28 12:22 "Education Managem","EDMC",1.46,"0.00%"
2014/07/28 12:22 "PennantPark Inves","PNNT",11.56,"-0.09%"
